Airline,AirlineID,Source airport,Source airport ID,Destination airport,Destination airport ID,Role,Equipment
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,DH,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,SDQ,1762,FO,767
AA,AAL,SDQ,1762,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,DH,300
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,ORY,1386,JFK,3797,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,DH,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,LGW,502,FO,767
AA,AAL,LGW,502,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,SJU,2890,FO,767
AA,AAL,SJU,2890,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,ORY,1386,FO,767
AA,AAL,ORY,1386,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,DH,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,PHL,3752,DH,727
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,MCO,3878,FO,767
AA,AAL,MCO,3878,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,BOS,3448,FB,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,BOS,3448,FB,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,BOS,3448,FB,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,BOS,3448,FB,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,LAX,3484,FB,767
AA,AAL,LAX,3484,BOS,3448,DH,767
AA,AAL,BOS,3448,CDG,1382,FB,767
AA,AAL,CDG,1382,BOS,3448,FB,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,STT,2883,FO,767
AA,AAL,STT,2883,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FB,767
AA,AAL,SJU,2890,BOS,3448,FB,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,SYR,3745,FO,767
AA,AAL,SYR,3745,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BDL,3825,FO,767
AA,AAL,BDL,3825,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,BOS,3448,FO,767
AA,AAL,BOS,3448,STT,2883,FO,767
AA,AAL,STT,2883,BOS,3448,FO,767
AA,AAL,BOS,3448,CDG,1382,FO,767
AA,AAL,CDG,1382,BOS,3448,FO,767
AA,AAL,BOS,3448,STT,2883,FO,767
AA,AAL,STT,2883,BOS,3448,FO,767
AA,AAL,BOS,3448,DFW,3670,CA,767
AA,AAL,DFW,3670,MCO,3878,CA,767
AA,AAL,MCO,3878,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,DFW,3670,DH,S80
AA,AAL,DFW,3670,RDU,3626,CA,767
AA,AAL,RDU,3626,DFW,3670,CA,767
AA,AAL,DFW,3670,DFW,3670,CA,767
AA,AAL,DFW,3670,RDU,3626,CA,767
AA,AAL,RDU,3626,DFW,3670,DH,767
AA,AAL,DFW,3670,BOS,3448,DH,767
AA,AAL,BOS,3448,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,LAX,3484,CA,767
AA,AAL,LAX,3484,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,BOS,3448,CA,767
AA,AAL,BOS,3448,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,BOS,3448,CA,767
AA,AAL,BOS,3448,SJC,3748,CA,767
AA,AAL,SJC,3748,BOS,3448,CA,767
AA,AAL,BOS,3448,LAX,3484,DH,767
AA,AAL,LAX,3484,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,SJC,3748,DH,767
AA,AAL,SJC,3748,BOS,3448,CA,767
AA,AAL,BOS,3448,SJC,3748,DH,767
AA,AAL,SJC,3748,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,MCO,3878,CA,767
AA,AAL,MCO,3878,BOS,3448,CA,767
AA,AAL,BOS,3448,SJC,3748,CA,767
AA,AAL,SJC,3748,BOS,3448,CA,767
AA,AAL,BOS,3448,LAX,3484,CA,767
AA,AAL,LAX,3484,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,DFW,3670,CA,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,DFW,3670,CA,767
AA,AAL,DFW,3670,SJC,3748,CA,767
AA,AAL,SJC,3748,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,BOS,3448,CA,767
AA,AAL,BOS,3448,DFW,3670,DH,767
AA,AAL,DFW,3670,BOS,3448,CA,767
AA,AAL,BOS,3448,SFO,3469,CA,767
AA,AAL,SFO,3469,BOS,3448,CA,767
AA,AAL,BOS,3448,LAX,3484,CA,767
AA,AAL,LAX,3484,BOS,3448,CA,767
AA,AAL,BOS,3448,LAX,3484,CA,767
AA,AAL,LAX,3484,BOS,3448,CA,767
